ID,Crawl Timestamp,Job Title,Job Salary,Job Experience Required,Key Skills,Role Category,Location,Functional Area,Industry,Role
0,2019-07-05 01:46:07 +0000, Digital Media Planner, Not Disclosed by Recruiter ,5 - 10 yrs, Media Planning| Digital Media,Advertising,Mumbai,"Marketing , Advertising , MR , PR , Media Planning","Advertising, PR, MR, Event Management",Media Planning Executive/Manager
1,2019-07-06 08:04:50 +0000, Online Bidding Executive, Not Disclosed by Recruiter ,2 - 5 yrs, pre sales| closing| software knowledge| clients| requirements| negotiating| client| online bidding| good communication| technology,Retail Sales,"Pune,Pune","Sales , Retail , Business Development","IT-Software, Software Services",Sales Executive/Officer
2,2019-08-05 15:50:44 +0000, Trainee Research/ Research Executive- Hi- Tech Operations, Not Disclosed by Recruiter ,0 - 1 yrs, Computer science| Fabrication| Quality check| Intellectual property| Electronics| Support services| Research| Management| Human resource management| Research Executive,R&D,Gurgaon,"Engineering Design , R&D","Recruitment, Staffing",R&D Executive
3,2019-08-05 15:31:56 +0000, Technical Support," 2,00,000 - 4,00,000 PA. ",0 - 5 yrs, Technical Support,Admin/Maintenance/Security/Datawarehousing,Mumbai,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Technical Support Engineer
4,2019-07-05 02:48:29 +0000, Software Test Engineer -hyderabad, Not Disclosed by Recruiter ,2 - 5 yrs, manual testing| test engineering| test cases| web testing| web technologies,Programming & Design,Hyderabad,IT Software - QA & Testing,"IT-Software, Software Services",Testing Engineer
5,2019-08-05 03:59:27 +0000, Opening For Adobe Analytics Specialist," 7,00,000 - 17,00,000 PA. ",5 - 7 yrs, adobe experience manager| digital| digital marketing| adobe analytics| data analytics| aem| adobe| sitecatalyst,Programming & Design,Pune,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",System Analyst
6,2019-07-06 09:20:22 +0000, Sales- Fresher-for Leading Property Consultant," 2,00,000 - 3,00,000 PA. ",0 - 0 yrs, channel partners| real estate| negotiation| property| Residential Sales,Retail Sales,Bengaluru,"Sales , Retail , Business Development","Real Estate, Property",Sales Executive/Officer
7,2019-08-04 03:31:17 +0000, Opportunity For Azure Devops Architect For Hyderabad Location, Not Disclosed by Recruiter ,9 - 14 yrs, TFS| Azure| Git| VSTS| Docker| DynaTrace| Splunk| AWS,Programming & Design,Hyderabad,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Technical Architect
8,2019-07-06 15:41:47 +0000, BDE- PUNE, Not Disclosed by Recruiter ,2 - 7 yrs, Bde,Institutional Sales,Pune,"Sales , Retail , Business Development","IT-Software, Software Services",Sales Executive/Officer
9,2019-07-04 12:37:52 +0000, Technical Support/ Product Support, Not Disclosed by Recruiter ,1 - 5 yrs, technical support| support services| application support| communication skills| voice based process| semi voice| semi voice process,Voice,Bengaluru,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(Technical)
