,0
0, Chief Executive Officer| Networking| Python| Distribution system| Data processing| Team building| big data| Cloud| Operating systems| AWS
1, Illustrator| Corel Draw| Photoshop
2,Head|Sales|Head|Manager|Manager|Manager|Sales|Sales|Head|Sales|Manager|Head|Sales|Head|Head|Head|Head|Sales|VP|Head|Sales|Manager|Sales|Head|Sales|Manager|Manager|Sales|Manager|Manager|Head|Head|Head|Manager|Sales|Manager|Manager|Manager|Manager|Sales|Head|Head|Sales|Manager|Manager|Sales|Manager|Head|Sales|Head|Manager|Manager|Manager|Manager|Manager|Head|Sales|Manager|Manager|Sales|Head|Sales|Sales|Head|Head|Sales|Head|Sales|Sales|Manager|Head|Sales|Sales|Head|Head|Sales|Manager|Manager
3, Automobile| Warehouse| Problem management| Manager Operations
4, Javascript| Front end
5, Project management| Tools| Cost reduction| Management| Project life cycle| Billing| Project development| Project execution| SCOPE| Monitor
6, Corporate finance| Investment banking
7, bpo| voice process| outbound| lead generation| sales| customer service| night shift| fresher| back office| backend| non voice| inbound process| calling| Aegis
8, javascript| sql| php| php mysql| css| software development| technical| photoshop| mca| ajax| jquery| application| web| design| mysql| html
9, Android Development| Android Studio| Java| Troubleshooting| API Testing| API
10, ERP| Succession Planning| Reports| Talent Management| Human Resources| Recruitment| Talent Acquisition| MIS| HR Policies
11, SEO| Digital marketing| Social media| Graphics| Google Analytics| Conceptualization| MS Office| Relationship building| offline marketing| Marketing Executive
12, java| mongodb| Hibernate| spring| jms
13, oracle and dba| Linux Administration| Database Administration| dba| Team Management Skills| sql and dba| MySQL| Bash| AWS| Python
14, English| MS Office| admin executive| Billing| Stock inventory| Writing| Office management| Management| Business Executive| Application
15, Retail Sales| Sales Executive Activities| Revenue Generation| Inhouse Sales
16, motor insurance| insurance sales| insurance broking| general insurance
17, Technical Support Executive| Electrical engineering
18, Deck Cadet & OS
19,nan
20, Pharma| Clinical research| Healthcare| Email| Microbiology| Senior Executive| Manager Quality Control| HRD| MSC| Recruitment
21, Software Testing| Manual Testing| QA
22, Tally ERP| Creditors| Payment followup
23, customer profiling| market research| sales executive| marketing executive| distributors| sales strategy| Business Development
24, Help Desk| Customer Service| data analysis| tech support| BPO| voice| customer relationship| cce| inbound| customer service| caller| technical support| voice process| access controls| outbound| uk| calling| non voice| us
25, Exadata| performance tuning| 11g| patching| sql| dataguard| rac| cassandra| oracle database| Weblogic| ebs| asm| apps dba| cloning
26, Screening| Hiring| HR| Global Sourcing| Business Development| RFP| Workforce Planning| Recruitment| Talent Acquisition| Onboarding
27, Testing| C++| MATLAB| Automotive| Simulink| CGI| Infotainment| qml| 32 bit microcontrollers| HMI
28, saving account| casa| Retail Sales| direct sales| banking| field sales
29, Direct sales| Sales Associate| Personal loans| Sales| Mortgage loans| Compliance| Finance| Corporate| banking products
30, hr| recruitment| recruiter| hiring| head hunting| leadership| mass hiring| volume hiring| bulk hiring| team leader| senior| tl| non it| it recruitment| technical hiring| it recruiter| bfsi| engineering| manufacturing| insurance| bpo| IT
31, Quality Assurance Systems| Purchase| Vendor Rating| B.E Mechanical
32, laundry
33,accounting|accounts manager|unclaimed funds|payable to policy|accounting operations|Premium Suspense|Premium Accounting|IRDA
34, Angularjs| Java| CSS| Html5| JSP| Java Web Services| JQuery| Web services| JSP Servlets| MySQL| Javascript| Bootstrap| Servlets| Ajax
35, Housekeeping| Supervisor| General administration| Personnel administration| General Administrator| Archiving| debit| Cost
36, Auditing| Payroll| Risk management| Service| Recruitment| Staffing| Company Secretary| Accounts Executive| Commerce| Law
37, tele - caller
38, .Net| C#| Webservices| VB| WinForms| Javascript| jQuery| Design Patterns| WCF| .Net Architect
39, rest| java| sql| oop| angularjs| ui development| oracle
40, HTML| Product support| Javascript| c#| server| Content management| css| website| technical| software| level| DNS| HTTP| Troubleshooting| scripting| jQuery| web| Analytical| design| .net| SEO| support| applications
41, Business Analyst| SAS| C++| XML| Consulting| Outsourcing| PHP| Risk analytics| Perl| jQuery
42, Salesforce Developer| sfdc developer| Salesforce
43, Financial reporting| Due diligence| Data analysis| Accounting| International finance| Banking
44, XML| Agile| Product management| Maven| Test planning| HTTP| JSON| Selenium| Test cases
45, Investigation| Advocate| Legal Advisor| Advisory
46, Bpo Voice| Calling| Voice Process| International BPO
47,Marketing|Executive|Marketing|Marketing|Executive|Direct|Executives|Marketing|Executive|Executive|Executive|Executive|Marketing|Executive|Marketing|Executive|direct|marketing|executive|Marketing|Executive|Marketing|Executive|Executive|Marketing|Executive|direct|Executive|Direct|Marketing|Executive|Executive|Direct|Marketing|Marketing|Executive
48, Application support| Windows| Automation| Production support| microsoft| Unix shell scripting| Analytics| CVS| IT services| Scheduling
49, build| configuration management| web technologies| software development| development testing| product development
50, Manager Sales| Sales Manager| assistant sales manager| MICE| Travel Agent| Senior Sales Executive| senior sales officer| Corporate Sales| Hotel Sales| Room Sales| Sales Executive
51, Mining| ERP| Analytics| ERP Executive| Payroll software| Database| IT sales| Business Development Executive| Sales achievement
52, SAP PLM| SAP MM| SAP EHS
53, Data Entry Operation| Computer Operating| Data Management| data analysis| Data Entry| computer operator| back office| non voice| backend| kpo
54, pnr| primetime| sta| floorplan| timing closure| synthesis| vlsi| Physical design| floor planning
55, Graphics| C++| Windows OS| Linux| high performance computing| Test cases| System software| Gaming| FreeBSD
56, CSS| Wordpress| MySQL| Javascript| PHP| HTML| JQuery| SEO| Ajax| Hosting
57, cms| javascript| wordpress| drupal| joomla| ajax| cakephp| zend| knowledge| xhtml
58, Teaching| Educator| Counselor| Mentor| Trainer| Advisor
59,nan
60, Copyright| Email| jQuery| XML| Javascript| CakePHP| Customer service| Open source| Facebook| CSS3
61, educational marketing| admissions| enrollment| admission| student counselling
62, QlikView| Data Visualization| Tableau| MS SQL Server| Business Analysis| Business Intelligence| Data Warehousing| Power Bi| Data Modeling| Alteryx
63, Gem| Tendering
64, CSS| Rest| XML| ASP.Net| .Net| HTML| JSON| MVC| JQuery| Ajax
